Shooting ID,State,Age,Number Killed,Number Injured,year,Gender_Male,Gender_Transgender
1,NV,64,60,867,2017,1,0
2,FL,29,49,53,2016,1,0
3,VA,23,32,26,2007,1,0
4,CT,20,27,1,2012,1,0
5,TX,26,25,20,2017,1,0
6,TX,21,23,26,2019,1,0
7,TX,35,23,22,1991,1,0
8,TX,18,21,17,2022,1,0
9,CA,41,21,19,1984,1,0
10,ME,40,18,13,2023,1,0
11,FL,19,17,17,2018,1,0
12,TX,25,15,31,1966,1,0
13,CA,28,14,24,2015,1,0
14,CA,29,14,24,2015,0,0
15,OK,44,14,6,1986,1,0
16,CO,17,13,23,1999,1,0
17,CO,18,13,23,1999,1,0
18,TX,39,13,32,2009,1,0
19,NY,41,13,4,2009,1,0
20,CO,24,12,70,2012,1,0
21,CA,28,12,21,2018,1,0
22,DC,34,12,8,2013,1,0
23,VA,40,12,4,2019,1,0
24,GA,44,12,13,1999,1,0
25,FL,42,11,6,1990,1,0
26,PA,46,11,6,2018,1,0
27,CA,72,11,9,2023,1,0
28,TX,17,10,13,2018,1,0
29,NY,18,10,3,2022,1,0
30,CO,21,10,1,2021,1,0
31,MN,16,9,7,2005,1,0
32,SC,21,9,1,2015,1,0
33,OH,24,9,27,2019,1,0
34,OR,26,9,8,2015,1,0
35,KY,47,9,12,1989,1,0
36,CA,57,9,1,2021,1,0
37,NE,19,8,5,2007,1,0
38,IN,19,8,7,2021,1,0
39,GA,21,8,1,2021,1,0
40,AK,25,8,1,1984,1,0
41,TX,33,8,7,2023,1,0
42,CT,34,8,2,2010,1,0
43,CA,41,8,1,2011,1,0
44,NC,45,8,3,2009,1,0
45,FL,51,8,3,1982,1,0
46,CA,55,8,6,1993,1,0
47,IL,21,7,48,2022,1,0
48,LA,23,7,8,1973,1,0
49,TX,36,7,23,2019,1,0
50,CA,37,7,2,1976,1,0
51,CA,39,7,4,1988,1,0
52,HI,40,7,0,1999,1,0
53,MA,42,7,0,2000,1,0
54,CA,43,7,3,2012,1,0
55,CA,44,7,0,2006,0,0
56,WI,44,7,4,2005,1,0
57,TX,47,7,7,1999,1,0
58,OH,51,7,1,2011,1,0
59,MI,56,7,2,1968,1,0
60,CA,66,7,1,2023,1,0
61,NJ,20,6,0,1977,1,0
62,AZ,22,6,13,2011,1,0
63,CA,22,6,14,2014,1,0
64,TX,24,6,0,1983,1,0
65,OR,26,6,2,1977,1,0
66,WA,28,6,2,2006,1,0
67,WA,28,6,4,2008,1,0
68,TN,28,6,0,2023,0,1
69,VA,31,6,6,2022,1,0
70,NJ,33,6,6,1972,1,0
71,TX,33,6,0,2015,1,0
72,NY,35,6,19,1993,1,0
73,WI,36,6,2,2004,1,0
74,IL,36,6,0,2003,1,0
75,MN,36,6,2,2012,1,0
76,AK,39,6,2,1983,1,0
77,TX,39,6,1,1984,1,0
78,PA,39,6,6,1967,1,0
79,WI,40,6,3,2012,1,0
80,FL,42,6,0,2013,1,0
