mortality_id,YEAR,STATE,RATE,DEATHS
1,2022,AL,25.5,1278
2,2022,AK,22.4,164
3,2022,AZ,20.1,1535
4,2022,AR,21.9,666
5,2022,CA,8.6,3484
6,2022,CO,17.1,1036
7,2022,CT,6.9,252
8,2022,DE,11.9,124
9,2022,DC,21.4,154
10,2022,FL,14.0,3232
11,2022,GA,19.7,2163
12,2022,HI,4.5,66
13,2022,ID,17.0,338
14,2022,IL,14.4,1798
15,2022,IN,17.4,1211
16,2022,IA,11.2,367
17,2022,KS,16.8,492
18,2022,KY,18.8,840
19,2022,LA,28.2,1266
20,2022,ME,11.7,179
21,2022,MD,13.6,813
22,2022,MA,3.7,263
23,2022,MI,15.0,1504
24,2022,MN,9.6,561
25,2022,MS,29.6,848
26,2022,MO,24.2,1489
27,2022,MT,23.9,274
28,2022,NE,12.2,244
29,2022,NV,18.9,618
30,2022,NH,10.1,156
31,2022,NJ,5.0,468
32,2022,NM,27.3,571
33,2022,NY,5.3,1044
34,2022,NC,16.8,1831
35,2022,ND,16.4,125
36,2022,OH,15.6,1831
37,2022,OK,19.8,797
38,2022,OR,14.4,655
39,2022,PA,14.7,1941
40,2022,RI,3.1,37
41,2022,SC,20.8,1105
42,2022,SD,15.7,141
43,2022,TN,20.5,1480
44,2022,TX,15.3,4630
45,2022,UT,13.7,446
46,2022,VT,12.0,84
47,2022,VA,14.9,1316
48,2022,WA,12.4,1022
49,2022,WV,16.2,311
50,2022,WI,14.0,830
51,2022,WY,20.4,124
52,2021,AL,26.4,1315
53,2021,AK,25.2,182
54,2021,AZ,18.3,1365
55,2021,AR,23.3,698
56,2021,CA,9.0,3576
57,2021,CO,17.8,1064
58,2021,CT,6.7,248
59,2021,DE,16.6,158
60,2021,FL,14.1,3142
61,2021,GA,20.3,2200
62,2021,HI,4.8,71
63,2021,ID,16.3,309
64,2021,IL,16.1,1995
65,2021,IN,18.4,1251
66,2021,IA,11.2,364
67,2021,KS,17.3,503
68,2021,KY,21.1,947
69,2021,LA,29.1,1314
70,2021,ME,12.6,178
71,2021,MD,15.2,915
72,2021,MA,3.4,247
73,2021,MI,15.4,1544
74,2021,MN,10.0,573
75,2021,MS,33.9,962
76,2021,MO,23.2,1414
77,2021,MT,25.1,280
78,2021,NE,10.3,200
79,2021,NV,19.8,633
80,2021,NH,8.3,123
81,2021,NJ,5.2,475
82,2021,NM,27.8,578
83,2021,NY,5.4,1078
84,2021,NC,17.3,1839
85,2021,ND,16.8,128
86,2021,OH,16.5,1911
87,2021,OK,21.2,836
88,2021,OR,14.9,670
89,2021,PA,14.8,1905
90,2021,RI,5.6,64
91,2021,SC,22.4,1136
92,2021,SD,14.3,128
93,2021,TN,22.8,1569
94,2021,TX,15.6,4613
95,2021,UT,13.9,450
96,2021,VT,11.9,83
97,2021,VA,14.3,1248
98,2021,WA,11.2,896
99,2021,WV,17.3,319
100,2021,WI,13.5,793
101,2021,WY,26.1,155
102,2020,AL,23.6,1141
103,2020,AK,23.5,175
104,2020,AZ,16.7,1265
105,2020,AR,22.6,673
106,2020,CA,8.5,3449
107,2020,CO,15.4,922
108,2020,CT,6.0,219
109,2020,DE,14.4,135
110,2020,FL,13.7,3041
111,2020,GA,17.7,1897
112,2020,HI,3.4,50
113,2020,ID,17.6,321
114,2020,IL,14.1,1745
115,2020,IN,17.3,1159
116,2020,IA,11.2,351
117,2020,KS,16.9,494
118,2020,KY,20.1,902
119,2020,LA,26.3,1183
120,2020,ME,10.4,153
121,2020,MD,13.5,803
122,2020,MA,3.7,268
123,2020,MI,14.6,1454
124,2020,MN,8.9,513
125,2020,MS,28.6,818
126,2020,MO,23.9,1426
127,2020,MT,20.9,238
128,2020,NE,10.1,197
129,2020,NV,17.0,547
130,2020,NH,8.9,128
131,2020,NJ,5.0,443
132,2020,NM,22.7,479
133,2020,NY,5.3,1052
134,2020,NC,16.0,1699
135,2020,ND,13.8,100
136,2020,OH,15.2,1764
137,2020,OK,20.7,826
138,2020,OR,13.0,592
139,2020,PA,13.6,1752
140,2020,RI,5.1,54
141,2020,SC,22.0,1131
142,2020,SD,13.6,120
143,2020,TN,21.3,1473
144,2020,TX,14.2,4164
145,2020,UT,13.6,429
146,2020,VT,11.6,76
147,2020,VA,13.4,1174
148,2020,WA,10.9,864
149,2020,WV,18.1,325
150,2020,WI,12.2,717
151,2020,WY,25.9,154
152,2019,AL,22.2,1076
153,2019,AK,24.4,179
154,2019,AZ,15.1,1136
155,2019,AR,19.3,580
156,2019,CA,7.2,2945
157,2019,CO,14.2,846
158,2019,CT,5.3,190
159,2019,DE,9.9,93
160,2019,FL,12.7,2872
161,2019,GA,15.8,1695
162,2019,HI,4.4,62
163,2019,ID,14.2,255
164,2019,IL,10.8,1367
165,2019,IN,14.1,958
166,2019,IA,9.1,294
167,2019,KS,13.7,403
168,2019,KY,14.9,682
169,2019,LA,22.1,1013
170,2019,ME,11.5,163
171,2019,MD,12.6,757
172,2019,MA,3.4,247
173,2019,MI,12.1,1220
174,2019,MN,8.1,465
175,2019,MS,24.2,710
176,2019,MO,20.6,1252
177,2019,MT,19.0,209
178,2019,NE,10.4,205
179,2019,NV,15.3,490
180,2019,NH,10.7,156
181,2019,NJ,4.1,368
182,2019,NM,22.3,471
183,2019,NY,3.9,804
184,2019,NC,13.1,1397
185,2019,ND,12.4,93
186,2019,OH,13.3,1578
187,2019,OK,18.6,737
188,2019,OR,12.6,566
189,2019,PA,11.7,1541
190,2019,RI,4.6,48
191,2019,SC,19.9,1012
192,2019,SD,13.1,113
193,2019,TN,18.4,1270
